2026-03-16 09:20:32 status unpacked libunistring2:arm64 1.0-2
2026-03-16 09:20:33 install libuuid1:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:33 status half-installed libuuid1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:33 status unpacked libuuid1:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:33 install libxxhash0:arm64 <none> 0.8.1-1
2026-03-16 09:20:33 status half-installed libxxhash0:arm64 0.8.1-1
2026-03-16 09:20:33 status unpacked libxxhash0:arm64 0.8.1-1
2026-03-16 09:20:33 install libzstd1:arm64 <none> 1.5.4+dfsg2-5
2026-03-16 09:20:33 status half-installed libzstd1:arm64 1.5.4+dfsg2-5
2026-03-16 09:20:33 status unpacked libzstd1:arm64 1.5.4+dfsg2-5
2026-03-16 09:20:33 install login:arm64 <none> 1:4.13+dfsg1-1+deb12u2
2026-03-16 09:20:33 status half-installed login:arm64 1:4.13+dfsg1-1+deb12u2
2026-03-16 09:20:33 status unpacked login:arm64 1:4.13+dfsg1-1+deb12u2
2026-03-16 09:20:34 install logsave:arm64 <none> 1.47.0-2+b2
2026-03-16 09:20:34 status half-installed logsave:arm64 1.47.0-2+b2
2026-03-16 09:20:34 status unpacked logsave:arm64 1.47.0-2+b2
2026-03-16 09:20:34 upgrade mawk:arm64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2026-03-16 09:20:34 status half-configured mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:34 status unpacked mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:34 status half-installed mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:34 status unpacked mawk:arm64 1.3.4.20200120-3.1
2026-03-16 09:20:34 install mount:arm64 <none> 2.38.1-5+deb12u3
2026-03-16 09:20:34 status half-installed mount:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:34 status unpacked mount:arm64 2.38.1-5+deb12u3
2026-03-16 09:20:34 install ncurses-base:all <none> 6.4-4
2026-03-16 09:20:34 status half-installed ncurses-base:all 6.4-4
2026-03-16 09:20:34 status unpacked ncurses-base:all 6.4-4
2026-03-16 09:20:35 install ncurses-bin:arm64 <none> 6.4-4
2026-03-16 09:20:35 status half-installed ncurses-bin:arm64 6.4-4
2026-03-16 09:20:35 status unpacked ncurses-bin:arm64 6.4-4
